CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2008 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 
Done!10.40 s

Number of sentences: 1600
Number of features:  2207527
Number of thread(s): 3
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=68 terr=0.05403 serr=0.94000 act=2207527 obj=25587.42738 diff=0.00217
iter=69 terr=0.05217 serr=0.93875 act=2207527 obj=25253.23558 diff=0.01306
iter=70 terr=0.05204 serr=0.93688 act=2207527 obj=24866.26566 diff=0.01532
iter=71 terr=0.05182 serr=0.93250 act=2207527 obj=24760.38762 diff=0.00426
iter=72 terr=0.05047 serr=0.93375 act=2207527 obj=24481.35850 diff=0.01127
iter=73 terr=0.05061 serr=0.93125 act=2207527 obj=24297.84766 diff=0.00750
iter=74 terr=0.05015 serr=0.93000 act=2207527 obj=24085.59665 diff=0.00874
iter=75 terr=0.04998 serr=0.93063 act=2207527 obj=23727.11082 diff=0.01488
iter=76 terr=0.04789 serr=0.92563 act=2207527 obj=23475.62810 diff=0.01060
iter=77 terr=0.04796 serr=0.92437 act=2207527 obj=23259.46132 diff=0.00921
iter=78 terr=0.04747 serr=0.92437 act=2207527 obj=23145.05970 diff=0.00492
iter=79 terr=0.04832 serr=0.92500 act=2207527 obj=22998.87776 diff=0.00632
iter=80 terr=0.04744 serr=0.92500 act=2207527 obj=22743.85481 diff=0.01109
iter=81 terr=0.04623 serr=0.92375 act=2207527 obj=22607.79303 diff=0.00598
iter=82 terr=0.04604 serr=0.92125 act=2207527 obj=22424.50349 diff=0.00811
iter=83 terr=0.04587 serr=0.92250 act=2207527 obj=22243.31162 diff=0.00808
iter=84 terr=0.04547 serr=0.92188 act=2207527 obj=22109.21956 diff=0.00603
iter=85 terr=0.04453 serr=0.92312 act=2207527 obj=21880.86705 diff=0.01033
iter=86 terr=0.04466 serr=0.92437 act=2207527 obj=21769.12033 diff=0.00511
iter=87 terr=0.04392 serr=0.92625 act=2207527 obj=21570.67382 diff=0.00912
iter=88 terr=0.04459 serr=0.92125 act=2207527 obj=21443.87917 diff=0.00588
iter=89 terr=0.04349 serr=0.92250 act=2207527 obj=21306.65393 diff=0.00640
iter=90 terr=0.04317 serr=0.92250 act=2207527 obj=21189.60968 diff=0.00549
iter=91 terr=0.04264 serr=0.91875 act=2207527 obj=20971.88923 diff=0.01027
iter=92 terr=0.04192 serr=0.91125 act=2207527 obj=20688.01086 diff=0.01354
iter=93 terr=0.04213 serr=0.90563 act=2207527 obj=20505.08321 diff=0.00884
iter=94 terr=0.04165 serr=0.90438 act=2207527 obj=20334.67818 diff=0.00831
iter=95 terr=0.04094 serr=0.90563 act=2207527 obj=20000.75711 diff=0.01642
iter=96 terr=0.04184 serr=0.90625 act=2207527 obj=19984.49964 diff=0.00081
iter=97 terr=0.04080 serr=0.90563 act=2207527 obj=19875.72167 diff=0.00544
iter=98 terr=0.04038 serr=0.90187 act=2207527 obj=19768.84836 diff=0.00538
iter=99 terr=0.04001 serr=0.89438 act=2207527 obj=19520.91076 diff=0.01254
iter=100 terr=0.03999 serr=0.89938 act=2207527 obj=19370.11077 diff=0.00773
iter=101 terr=0.03922 serr=0.89687 act=2207527 obj=19261.82865 diff=0.00559
iter=102 terr=0.03828 serr=0.89312 act=2207527 obj=19182.99994 diff=0.00409
